_uid_,id,longitude,latitude,initialdate,days,year,month,air_level_1000,air_level_975,air_level_950,air_level_925,air_level_900,air_level_875,air_level_850,air_level_825,air_level_800,air_level_775,air_level_750,air_level_725,air_level_700,air_level_650,air_level_600,air_level_550,air_level_500,air_level_450,air_level_400,air_level_350,air_level_300,air_level_275,air_level_250,air_level_225,air_level_200,air_level_175,air_level_150,air_level_125,air_level_100,hgt_level_1000,hgt_level_975,hgt_level_950,hgt_level_925,hgt_level_900,hgt_level_875,hgt_level_850,hgt_level_825,hgt_level_800,hgt_level_775,hgt_level_750,hgt_level_725,hgt_level_700,hgt_level_650,hgt_level_600,hgt_level_550,hgt_level_500,hgt_level_450,hgt_level_400,hgt_level_350,hgt_level_300,hgt_level_275,hgt_level_250,hgt_level_225,hgt_level_200,hgt_level_175,hgt_level_150,hgt_level_125,hgt_level_100,omega_level_1000,omega_level_975,omega_level_950,omega_level_925,omega_level_900,omega_level_875,omega_level_850,omega_level_825,omega_level_800,omega_level_775,omega_level_750,omega_level_725,omega_level_700,omega_level_650,omega_level_600,omega_level_550,omega_level_500,omega_level_450,omega_level_400,omega_level_350,omega_level_300,omega_level_275,omega_level_250,omega_level_225,omega_level_200,omega_level_175,omega_level_150,omega_level_125,omega_level_100,tke_level_1000,tke_level_975,tke_level_950,tke_level_925,tke_level_900,tke_level_875,tke_level_850,tke_level_825,tke_level_800,tke_level_775,tke_level_750,tke_level_725,tke_level_700,tke_level_650,tke_level_600
323567.0,2507458.0,-1423511.7221931063,1607448.918365921,2003-04-03,0,2003,4,298.09222412109375,295.92596435546875,294.096923828125,292.24298095703125,290.25823974609375,288.4927978515625,286.596435546875,284.6978759765625,284.52813720703125,284.6710205078125,284.1680908203125,283.76251220703125,282.87158203125,280.004638671875,276.62542724609375,273.4305114746094,268.7915344238281,262.11334228515625,256.0639343261719,250.78871154785156,242.69056701660156,238.38766479492188,233.294677734375,227.6626739501953,222.07821655273438,216.19093322753906,208.5550079345703,201.3929443359375,197.5043182373047,83.4237060546875,306.16241455078125,532.7752075195312,763.548828125,999.313232421875,1239.52392578125,1485.376220703125,1736.39697265625,1993.3544921875,2259.7744140625,2533.79052734375,2817.029296875,3108.953369140625,3721.44580078125,4374.6611328125,5077.6796875,5836.09375,6656.23828125,7548.77734375,8541.984375,9655.88671875,10268.84375,10927.37890625,11639.11328125,12414.66015625,13273.23046875,14231.4765625,15325.23828125,16623.9609375,0.04927253723144531,0.09327125549316406,0.12311840057373047,0.13616180419921875,0.1540508270263672,0.16498661041259766,0.17473602294921875,0.16472625732421875,0.14924049377441406,0.10063362121582031,0.026422500610351562,-0.03698921203613281,-0.07367610931396484,-0.07709312438964844,-0.05470848083496094,-0.031706809997558594,0.005329132080078125,0.04870033264160156,0.13345718383789062,0.1573038101196289,0.09681987762451172,0.06524658203125,0.05733680725097656,0.04680347442626953,0.014087677001953125,-0.02368086576461792,-0.045598745346069336,-0.04048997163772583,-0.025581300258636475,0.75,0.625,0.5,0.675000011920929,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2394673228263855,0.1995135247707367
285120.0,2424603.0,-1098615.6737701937,1222166.398891736,2003-04-03,21,2003,4,298.49847412109375,296.28533935546875,294.253173828125,292.46173095703125,290.52386474609375,288.9615478515625,288.080810546875,286.8228759765625,285.88751220703125,284.7803955078125,283.4493408203125,282.35626220703125,281.16845703125,278.582763671875,275.34417724609375,272.4930114746094,269.3852844238281,263.66021728515625,258.0014343261719,251.99183654785156,243.79994201660156,238.96578979492188,233.935302734375,228.6157989501953,222.79696655273438,215.76905822753906,208.0706329345703,199.7523193359375,196.2543182373047,78.4237060546875,301.66241455078125,528.2752075195312,759.548828125,994.813232421875,1235.52392578125,1482.376220703125,1734.89697265625,1993.8544921875,2261.2744140625,2535.29052734375,2817.029296875,3108.453369140625,3718.94580078125,4369.6611328125,5069.1796875,5828.09375,6651.73828125,7551.27734375,8549.984375,9669.88671875,10284.84375,10944.87890625,11658.61328125,12438.16015625,13296.23046875,14252.4765625,15341.73828125,16628.9609375,-0.09916496276855469,-0.10204124450683594,-0.09172534942626953,-0.07086944580078125,-0.029542922973632812,-0.006888389587402344,-0.00495147705078125,-0.00324249267578125,-0.010915756225585938,-0.0048351287841796875,0.010797500610351562,0.03332328796386719,0.06304264068603516,0.11040687561035156,0.08982276916503906,0.1089181900024414,0.18111038208007812,0.24010658264160156,0.2701759338378906,0.2393350601196289,0.20228862762451172,0.17462158203125,0.13546180725097656,0.08586597442626953,0.037525177001953125,-0.00414961576461792,-0.057317495346069336,-0.07955247163772583,-0.056831300258636475,1.0,0.75,0.375,0.32499998807907104,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2394673228263855,0.1995135247707367
325260.0,2511573.0,-2077489.061815535,2509706.2579124463,2003-04-03,1,2003,4,295.87347412109375,293.80096435546875,291.768798828125,289.80548095703125,287.94573974609375,286.0552978515625,284.643310546875,283.2603759765625,283.34063720703125,285.3741455078125,286.0430908203125,285.38751220703125,284.30908203125,281.614013671875,278.21917724609375,273.2117614746094,266.9477844238281,259.51959228515625,254.12643432617188,246.78871154785156,238.00306701660156,234.34078979492188,230.685302734375,225.9751739501953,221.76571655273438,215.31593322753906,209.4612579345703,202.7054443359375,198.5668182373047,116.4237060546875,337.16241455078125,562.2752075195312,790.548828125,1023.813232421875,1262.02392578125,1505.876220703125,1754.39697265625,2010.3544921875,2274.7744140625,2550.29052734375,2834.529296875,3127.453369140625,3742.94580078125,4399.6611328125,5103.1796875,5858.09375,6670.73828125,7554.77734375,8535.484375,9630.38671875,10232.34375,10881.37890625,11586.61328125,12359.66015625,13214.23046875,14172.9765625,15273.73828125,16580.9609375,-0.06400871276855469,-0.03172874450683594,-0.005787849426269531,0.00334930419921875,0.009519577026367188,0.008736610412597656,0.01067352294921875,0.01628875732421875,0.024240493774414062,0.04203987121582031,0.06157875061035156,0.07629203796386719,0.08648014068603516,0.09868812561035156,0.11326026916503906,0.1284494400024414,0.13032913208007812,0.07213783264160156,0.027988433837890625,0.016678810119628906,0.02650737762451172,0.03009033203125,0.04561805725097656,0.07024097442626953,0.08830642700195312,0.10522538423538208,0.10283875465393066,0.08451002836227417,0.06426244974136353,0.75,0.75,0.5,0.42500001192092896,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2394673228263855,0.1995135247707367
325266.0,2511578.0,-2051054.0468083671,2482459.653073831,2003-04-04,5,2003,4,296.19622802734375,294.0205078125,292.207763671875,290.2870788574219,288.7101745605469,286.91583251953125,285.05572509765625,283.35797119140625,283.48065185546875,284.57373046875,284.0309753417969,282.77130126953125,281.3922119140625,278.26544189453125,275.01666259765625,271.4697570800781,266.33917236328125,260.88427734375,254.032470703125,245.81533813476562,238.24569702148438,234.34080505371094,229.366943359375,225.433837890625,221.40065002441406,215.2559051513672,208.73526000976562,201.43869018554688,198.8374481201172,112.24806213378906,333.09039306640625,557.8519897460938,787.217041015625,1020.90869140625,1259.921630859375,1504.187744140625,1752.806640625,2009.05859375,2274.10498046875,2547.94287109375,2830.746826171875,3121.4208984375,3730.213623046875,4379.5224609375,5076.921875,5829.16015625,6643.42578125,7532.74609375,8510.30078125,9602.640625,10204.67578125,10852.48828125,11553.5546875,12326.01171875,13180.09375,14136.48828125,15231.87890625,16533.60546875,-0.1408044695854187,-0.13445627689361572,-0.11151409149169922,-0.08028030395507812,-0.06501197814941406,-0.03259468078613281,0.004914283752441406,0.051253318786621094,0.07170295715332031,0.06091880798339844,0.03920555114746094,0.009923934936523438,-0.029790878295898438,-0.09998416900634766,-0.1411266326904297,-0.14699363708496094,-0.15181827545166016,-0.1401538848876953,-0.1298847198486328,-0.10550594329833984,-0.07559680938720703,-0.046553611755371094,-0.008793830871582031,0.010738372802734375,-0.001216888427734375,-0.008085846900939941,-0.0016575455665588379,-0.0076850056648254395,-0.008183419704437256,0.75,0.5,0.375,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.19544649124145508,0.19993075728416443
323575.0,2507470.0,-1737526.2989686264,1642031.287975774,2003-04-04,0,2003,4,297.35247802734375,295.1767578125,293.207763671875,291.5058288574219,289.8820495605469,288.93145751953125,287.71197509765625,286.46734619140625,285.21502685546875,284.10498046875,282.8122253417969,281.31817626953125,279.6265869140625,276.57794189453125,276.28228759765625,273.5947570800781,268.38604736328125,263.10302734375,257.891845703125,250.31533813476562,241.48007202148438,236.93455505371094,232.179443359375,227.261962890625,222.08815002441406,214.8184051513672,207.11026000976562,200.95431518554688,198.1186981201172,96.24806213378906,318.59039306640625,544.3519897460938,774.217041015625,1009.40869140625,1249.421630859375,1496.187744140625,1748.306640625,2008.05859375,2274.10498046875,2547.44287109375,2828.746826171875,3118.9208984375,3724.713623046875,4373.0224609375,5075.421875,5833.66015625,6652.92578125,7552.74609375,8547.80078125,9657.640625,10267.17578125,10922.48828125,11631.0546875,12407.51171875,13262.09375,14214.48828125,15302.37890625,16601.60546875,-0.0978357195854187,-0.05633127689361572,-0.013857841491699219,0.029094696044921875,0.07170677185058594,0.06896781921386719,0.008820533752441406,-0.054215431213378906,-0.10407829284667969,-0.12267494201660156,-0.12485694885253906,-0.12288856506347656,-0.11572837829589844,-0.07654666900634766,-0.0005016326904296875,0.06394386291503906,0.09036922454833984,0.027814865112304688,-0.05175971984863281,-0.031287193298339844,0.010340690612792969,0.004227638244628906,-0.012700080871582031,-0.020511627197265625,-0.016841888427734375,0.0036329030990600586,0.021779954433441162,0.03137749433517456,0.019160330295562744,0.75,0.75,0.375,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.19544649124145508,0.19993075728416443
325268.0,2511580.0,-2049538.280120761,2480368.2828567005,2003-04-03,4,2003,4,295.93597412109375,293.86346435546875,291.878173828125,289.94610595703125,287.89886474609375,285.8521728515625,284.518310546875,283.1666259765625,283.30938720703125,285.3741455078125,285.9649658203125,285.30938720703125,284.21533203125,281.567138671875,278.21917724609375,273.3055114746094,267.0571594238281,259.59771728515625,254.28268432617188,246.88246154785156,238.15931701660156,234.55953979492188,230.888427734375,226.0532989501953,221.64071655273438,215.42530822753906,209.4925079345703,202.6898193359375,198.5668182373047,115.4237060546875,336.16241455078125,560.7752075195312,789.548828125,1022.813232421875,1261.02392578125,1504.376220703125,1752.89697265625,2008.8544921875,2273.7744140625,2548.79052734375,2833.029296875,3126.453369140625,3741.44580078125,4398.1611328125,5101.6796875,5857.09375,6669.73828125,7554.77734375,8535.984375,9630.88671875,10233.34375,10882.87890625,11588.61328125,12361.66015625,13216.23046875,14174.9765625,15275.73828125,16583.4609375,-0.09525871276855469,-0.06297874450683594,-0.03313159942626953,-0.01618194580078125,-0.0061054229736328125,-0.0029821395874023438,-0.00495147705078125,0.00066375732421875,0.016427993774414062,0.03422737121582031,0.04595375061035156,0.05676078796386719,0.06304264068603516,0.07915687561035156,0.09763526916503906,0.1128244400024414,0.11079788208007812,0.03698158264160156,-0.011074066162109375,-0.0028524398803710938,0.010882377624511719,0.01446533203125,0.026086807250976562,0.05070972442626953,0.07268142700195312,0.08569413423538208,0.07940125465393066,0.06497877836227417,0.052543699741363525,0.75,0.625,0.375,0.375,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2394673228263855,0.1995135247707367
323563.0,2507452.0,-1924054.5804248287,1771141.0797113965,2003-04-07,11,2003,4,297.61981201171875,295.54302978515625,293.966064453125,292.1220397949219,290.1802978515625,288.4892578125,287.8313293457031,286.598876953125,285.291015625,284.248291015625,283.24334716796875,282.2543029785156,281.2337951660156,279.0107421875,275.9163513183594,272.5489501953125,268.361083984375,262.6162109375,256.75006103515625,250.4339141845703,242.68775939941406,237.42893981933594,232.021728515625,226.61244201660156,222.4017333984375,214.6509246826172,207.22409057617188,200.57064819335938,196.00437927246094,129.76803588867188,353.4633483886719,580.060302734375,810.365234375,1045.8359375,1285.187255859375,1531.123291015625,1783.561279296875,2042.834228515625,2308.88720703125,2582.55126953125,2864.451904296875,3155.5615234375,3765.989013671875,4417.29296875,5117.97265625,5874.6484375,6696.0078125,7592.921875,8586.1484375,9701.23828125,10312.80078125,10968.20703125,11675.5234375,12452.17578125,13306.1796875,14258.08203125,15346.51953125,16639.13671875,-0.09023475646972656,-0.09730339050292969,-0.088470458984375,-0.06070709228515625,-0.03753089904785156,-0.020127296447753906,-0.039788246154785156,-0.05899524688720703,-0.07090473175048828,-0.07943058013916016,-0.06958675384521484,-0.05214500427246094,-0.02427196502685547,0.016859054565429688,-0.008305549621582031,-0.06914424896240234,-0.08797073364257812,-0.12262821197509766,-0.11043643951416016,-0.026314735412597656,0.05349159240722656,0.061362266540527344,0.021698951721191406,-0.06752681732177734,-0.13249874114990234,-0.13391590118408203,-0.11972278356552124,-0.09523040056228638,-0.05336230993270874,0.25,0.5,0.5,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.19191236793994904,0.19999857246875763
371991.0,2511584.0,-2026461.8453665893,2377167.6503659924,2003-04-04,9,2003,4,296.21185302734375,294.0048828125,292.114013671875,290.3027038574219,288.6476745605469,286.96270751953125,285.24322509765625,283.93609619140625,284.57440185546875,284.52685546875,283.4528503417969,282.16192626953125,280.7828369140625,277.96856689453125,275.17291259765625,271.8603820800781,266.80792236328125,261.60302734375,254.594970703125,246.47158813476562,238.90194702148438,234.80955505371094,229.898193359375,225.980712890625,221.77565002441406,215.2559051513672,208.93838500976562,201.12619018554688,198.3061981201172,110.24806213378906,331.59039306640625,556.3519897460938,785.217041015625,1018.90869140625,1257.921630859375,1502.187744140625,1751.806640625,2009.05859375,2274.60498046875,2547.94287109375,2829.746826171875,3120.4208984375,3728.713623046875,4378.0224609375,5075.921875,5829.16015625,6644.92578125,7536.74609375,8516.30078125,9612.140625,10215.67578125,10864.98828125,11567.5546875,12341.51171875,13196.09375,14153.48828125,15248.87890625,16547.60546875,-0.0197107195854187,0.03351247310638428,0.09551715850830078,0.15018844604492188,0.18108177185058594,0.1939678192138672,0.1963205337524414,0.1957845687866211,0.1849842071533203,0.17420005798339844,0.16811180114746094,0.14273643493652344,0.09520912170410156,-0.010140419006347656,-0.06300163269042969,-0.07277488708496094,-0.07759952545166016,-0.04640388488769531,-0.012697219848632812,-0.003943443298339844,-0.009190559387207031,0.008133888244628906,0.02245616912841797,0.022457122802734375,0.002689361572265625,-0.008085846900939941,-0.0016575455665588379,-0.0037787556648254395,-0.00037091970443725586,0.75,0.5,0.375,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.19544649124145508,0.19993075728416443
325276.0,2511595.0,-875913.3021462392,1145372.7436690466,2003-04-08,3,2003,4,298.6086120605469,296.53155517578125,294.7020568847656,292.7309265136719,290.7554016113281,289.405029296875,288.85943603515625,287.5171203613281,286.6317443847656,285.6040344238281,284.0358581542969,282.41778564453125,280.7056884765625,277.2594299316406,274.05780029296875,271.20330810546875,267.5609130859375,263.6904296875,258.63739013671875,252.1945037841797,243.1310577392578,238.5064697265625,233.36024475097656,228.19290161132812,222.43121337890625,215.5604705810547,207.1520538330078,200.567626953125,195.89027404785156,107.74554443359375,331.08892822265625,558.263916015625,789.46484375,1025.534423828125,1266.728759765625,1513.9765625,1766.652587890625,2027.0771484375,2294.259033203125,2569.243896484375,2851.705078125,3142.7490234375,3751.214111328125,4398.95361328125,5096.3046875,5850.04296875,6671.1640625,7572.7734375,8573.67578125,9693.08203125,10306.2734375,10965.5,11677.48828125,12456.015625,13313.234375,14267.125,15353.96875,16646.75,-0.11917304992675781,-0.12255191802978516,-0.12578487396240234,-0.1187744140625,-0.11019420623779297,-0.0922861099243164,-0.09097003936767578,-0.10879802703857422,-0.13237857818603516,-0.17766952514648438,-0.2124013900756836,-0.2332000732421875,-0.2391195297241211,-0.2145252227783203,-0.1355152130126953,-0.03417015075683594,0.015816688537597656,0.056504249572753906,0.07073402404785156,0.07509040832519531,0.08930397033691406,0.10089397430419922,0.06674385070800781,0.019776344299316406,0.012918472290039062,0.021402359008789062,0.017625093460083008,0.005376219749450684,0.0026367902755737305,0.625,0.5,0.375,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.09239888191223145,0.1999107301235199
325258.0,2511570.0,-2079124.431891129,2511517.8794881045,2003-04-01,0,2003,4,296.56024169921875,294.80474853515625,293.07684326171875,291.114013671875,289.201904296875,287.1913757324219,285.6551513671875,284.51190185546875,283.164306640625,282.4327392578125,283.1986083984375,283.56927490234375,283.19915771484375,281.122314453125,277.4223327636719,273.2722473144531,268.30072021484375,261.3883361816406,254.33258056640625,247.01174926757812,239.74449157714844,235.62925720214844,229.9003448486328,224.03466796875,220.5154266357422,215.29959106445312,208.8545684814453,202.5791778564453,199.8606719970703,122.29595947265625,344.6607666015625,570.2978515625,800.262451171875,1033.941650390625,1273.4130859375,1517.90234375,1767.9951171875,2025.249267578125,2288.992919921875,2561.2080078125,2843.381591796875,3136.180908203125,3751.53759765625,4407.0439453125,5110.1953125,5866.8046875,6685.375,7574.4296875,8555.23828125,9653.89453125,10259.65625,10910.40625,11610.828125,12377.49609375,13230.90625,14187.97265625,15285.91015625,16596.56640625,-0.09812396764755249,-0.12926006317138672,-0.1510639190673828,-0.15898704528808594,-0.16442584991455078,-0.1660308837890625,-0.1310892105102539,-0.0944366455078125,-0.09265804290771484,-0.08129024505615234,-0.06720352172851562,-0.0690155029296875,-0.07286739349365234,-0.07365703582763672,-0.07923698425292969,-0.10338592529296875,-0.17465972900390625,-0.22885608673095703,-0.2153615951538086,-0.17956161499023438,-0.20031070709228516,-0.20864582061767578,-0.18143939971923828,-0.1295480728149414,-0.05720996856689453,0.004794120788574219,0.025758206844329834,0.002498328685760498,-0.0249364972114563,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.19151192903518677,0.19978170096874237
